t,plant,axis,metamer,organ,element,Ag,Nstruct,Tr,Ts,green_area,is_growing,mstruct,senesced_mstruct,amino_acids,cytokinins,fructan,nitrates,proteins,starch,sucrose,triosesP,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Transpiration,sum_respi,nb_replications,Amino_Acids_import,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,Nitrates_import,Regul_S_Fructan,S_Fructan,S_Starch,S_Sucrose,S_Amino_Acids,S_Proteins,cytokinins_import,Total_Organic_Nitrogen
12,1,MS,2,sheath,StemElement,0.0,0.00036,0.0,0.0,1.26e-06,False,0.012,0,2.3075794336140794,0.9415678602262074,0.19746602093564805,0.0,1.4971702999970353,0.0,15.17868866577047,0.0,0.0,0.0,1.5469995561123256e-05,0.046692803403081636,0.0,0.04670827339864276,1,0.0,0.19746602093564805,0.41012629288964814,0.0,4.2370553710179335,-0.058860864380757855,0.21486104946004522,0.0,0.00012093549568958604,0.08790140095613418,0,0,0,7.0432835329405705,0.0,29.51903544789683
12,1,MS,3,blade,LeafElement1,4.097575286,0.00066,0.347523631,16.72337048,0.000229007,False,0.022,0,5.44638466058973,1.7305109055068173,1.3293814312883614,0.0001797002276294003,3.094429127924643,0.14234488684492208,35.2335390353517,0.00014269385669043848,3.378144324675607,0.026750752645476633,0.0002549388202677151,0.3130804519144028,7.958534416441701e-05,0.34008614338014714,1,0.47807317822271084,1.3293814312883614,0.45943407099229155,9.317119866213082,4.247617677153097,0.28143568160911747,1.9313546989978418,0.02703133515420512,1.0343100265682824e-06,0.0009033219914358988,9.336933521888017,140.1373824227213,1.2282255576435552,8.060326238964837,0.0007517694442875116,55.68367093137152
12,1,MS,3,sheath,StemElement,0.0,0.00042,0.0,0.0,4.06e-06,False,0.014,0,2.6824549895595413,1.098495836930574,1.024726006880357,0.0,1.7550617837883942,0.0,16.86999943959795,0.0,0.0,0.0,6.377775794667447e-06,0.05296733703992466,0.0,0.052973714815719324,1,0.0,1.024726006880357,0.4120497674870015,0.0,4.237055371017928,-0.0682422222034348,0.0759259023174696,0.0,0.0033945590626902134,2.373182404476736,0,0,0,7.028885920601017,0.0,34.43751677334794
12,1,MS,4,blade,LeafElement1,0.974708864,4.84e-06,0.247650797,16.41207257,5.44e-06,True,0.000150236,0,0.031143782456175665,4.445804319025408e-05,2.21065605683344e-05,3.891160990476703e-06,0.005537955556625511,0.0007606903409322764,0.17652180063551007,7.60893934716053e-07,0.019088698392575997,0.0004527740841475362,1.361774050890684e-08,0.0016926444679953487,1.34722033568e-06,0.002145432169883394,1,0.00809282053633151,2.21065605683344e-05,0.4396302984419567,7.2911558544055906,0.015979754068756628,0.007459138292240643,0.015107054355488298,0.00045758631570521117,6.882742060616685e-07,0.00047146987056219,7.291260897397782,109.66012399764917,3.044194199426143,7.343651272230152,1.2725949654682975e-05,0.3823960237270869
16,1,MS,1,blade,LeafElement1,27.49920916,0.00054,2.766691435,26.67916839,0.000294284,False,0.018,0,7.801562553179487,1.1509779793856185,1.199651199031807,0.00022595425076675293,3.0960023322040686,1.3297300923573119,73.96253220420066,0.0013382251424904521,29.13327816638919,0.2897622486117642,0.00253415430135221,0.7655447076246653,0.0008141930222575399,1.0578411105377818,1,1.4510076191977759,1.199651199031807,0.7497444413838029,106.37840738858496,3.4529339381568556,1.7643355709361308,23.464391679187127,0.29269374019218236,3.1592818250190875e-10,5.13048029999186e-07,106.661519379874,1457.869104522739,16.260507778437947,10.273923561754508,0.0032615999338362527,49.46899345681213
16,1,MS,1,sheath,StemElement,13.13302554,0.0003,1.828340321,22.33472638,0.000174251,False,0.01,0,3.7164386894633514,0.6376088710703882,0.7620371686049986,0.00015916053263439434,1.6548061032593324,0.3533387387086578,29.078450704187503,0.00035489397100681055,8.238394200133945,0.11338120944150809,0.00032311539526925907,0.2777724880132636,0.00031859012927457097,0.39147681285004093,1,0.5677728650840521,0.7620371686049986,0.724802948980635,50.88077837404673,3.4430879037800963,0.63875724109381,5.385256587820984,0.11452976625509459,4.4810462829962235e-09,5.931916675385726e-06,51.014208649553666,734.8024576366424,11.45264741833415,9.685015774603214,0.001276249631422337,26.799816221294112
16,1,MS,2,blade,LeafElement1,30.22015471,0.0006,2.946508489,25.88519424,0.00028853,False,0.02,0,8.583189473807924,1.2777400375370556,1.2331377682348632,0.00024162144451153408,3.523809832276033,1.4300180266523856,82.02211091160117,0.0014390211750149524,31.389916458514676,0.3025609959150459,0.0030044471797266957,0.8038703297769662,0.0008501560943311701,1.1094357728717388,1,1.5150989220732383,1.2331377682348632,0.7683772006908023,102.96129791897177,3.4498981013500503,1.8256119330011475,25.037059831055796,0.30562208247254924,3.5672927937052245e-10,5.786927650550989e-07,103.23811999920757,1415.52530544749,15.280858379547773,10.236746659818742,0.0034056654690218366,54.96414216322681
16,1,MS,2,sheath,StemElement,0.0,0.00036,0.0,0.0,1.26e-06,False,0.012,0,2.6763864744208976,0.7586548540966702,0.5764816391641686,0.0,1.8186942804491124,0.0,16.40884499567614,0.0,0.0,0.0,0.0,0.04903687325787348,0.0,0.04903687325787348,1,0.0,0.5764816391641686,0.6727617197175002,0.0,3.413946843435016,-0.23205167082359704,-1.4672959498984925,0.0,0.015,11.596532179182308,0,0,0,7.638215100574499,0.0,30.209366469155725
16,1,MS,3,blade,LeafElement1,37.03223461,0.00066,3.148516515,24.86330086,0.000229007,False,0.022,0,8.767797343308185,1.4018890020218924,1.2173983902141141,0.00022572381428472262,3.896332067577103,1.381625398640072,86.54524565148304,0.0013898359647358512,30.530307424796174,0.2566068942279387,0.0031326467075152606,0.808251035303153,0.000721032321550605,1.067990576238607,1,1.2849820173561428,1.2173983902141141,0.7748784790752645,90.43366245644108,3.4410002776900996,1.4616004901013055,23.73217202663076,0.25920345817867213,5.575121345601228e-10,8.837664229695292e-07,90.68463413278604,1257.941184092437,11.781767411751089,9.955167819103538,0.0028884047246469447,59.80698655374243
16,1,MS,3,sheath,StemElement,0.0,0.00042,0.0,0.0,4.06e-06,False,0.014,0,3.0973042478667066,0.8850973297794471,1.5049748217294956,0.0,2.128796197745214,0.0,18.695380550864844,0.0,0.0,0.0,0.0,0.0564630652155774,0.0,0.0564630652155774,1,0.0,1.5049748217294956,0.6749220837906093,0.0,3.41394684343501,-0.2672632999943785,-1.7465983831885619,0.0,0.015,11.382222427781869,0,0,0,7.605580541728929,0.0,35.22610044561192
