t,plant,axis,metamer,Nstruct,mstruct,ratio_DZ,amino_acids,fructan,proteins,sucrose,nb_replications,D_Fructan,D_Proteins,S_Fructan,S_Proteins,Unloading_Amino_Acids,Unloading_Sucrose
24,1,MS,4,4.64e-06,0.000144,0.0,0.03760008026859963,0.12967641232411428,1.1607509226662729,0.32875512283492114,1,0.12967641232411428,7.254693266664205,169.27475486458346,206.90238995948025,0.016618778897714754,0.01462717203984468
24,1,MS,5,1e-07,3.11e-06,0.5,0.0008120613256998247,0.007741616518853299,0.032343242855242045,0.007100265417004961,1,0.007741616518853299,9.359780890584515,169.2758673946553,420.702549125865,0.001263947513412914,0.0007152769324312132
24,1,MS,6,2.06e-08,6.4e-07,1.0,0.00016711671459122447,0.0017017688702835262,0.009430989622056848,0.0014611558273047445,1,0.0017017688702835262,13.26232915601744,169.2765005028389,634.5104064207576,0.0003944443527876895,0.0001661858616126367
28,1,MS,4,4.64e-06,0.000144,0.0,0.03525513121229421,0.13143001705687202,1.2734362415791343,0.311182822150843,1,0.13143001705687202,7.958976509869589,1.1027379465346911,200.38315694681654,0.015682742315272218,-0.002734528764537894
28,1,MS,5,1e-07,3.11e-06,0.5,0.0007614116398643309,0.009801738397595055,0.03735940695626303,0.006720525596817056,1,0.009801738397595055,10.811403942326923,162.95456550876756,407.4454108902277,0.0012240335744835892,0.0007680740798184911
28,1,MS,6,2.06e-08,6.4e-07,1.0,0.0001566935407002475,0.002125818312598017,0.010990052658022808,0.0013830103382764022,1,0.002125818312598017,15.454761550344571,162.9552472164238,614.5164095213114,0.0003814448243254748,0.000181183710569282
32,1,MS,4,4.64e-06,0.000144,0.0,0.03397089881195271,0.1388399805991178,1.382889728781386,0.30469245999577127,1,0.1388399805991178,8.64306080488366,3.437854404033808e-06,196.6276588187919,0.003970094696338418,-0.1866908953671066
32,1,MS,5,1e-07,3.11e-06,0.5,0.0007335325449640222,0.011803134251176087,0.04223285099403049,0.006578021992326925,1,0.011803134251176087,12.221725368047409,160.5264075156953,399.76905381098527,0.001198885611048474,0.0008668402901973815
32,1,MS,6,2.06e-08,6.4e-07,1.0,0.00015095630298278466,0.002537953270844285,0.01250481276317244,0.0013536857924600517,1,0.002537953270844285,17.584892948211245,160.5271775972761,602.9391477393476,0.0003733124197248465,0.00020563845304366304
36,1,MS,4,4.64e-06,0.000144,0.0,0.042291739613911736,0.13976188820409952,1.4974608900700963,0.37927745432035354,1,0.13976188820409952,9.3591305629381,8.458433602431593e-09,218.77345717568826,-0.2440720302491415,-1.4531691411092942
36,1,MS,5,1e-07,3.11e-06,0.5,0.0009100918749152822,0.013927527411494047,0.04731591593912484,0.008172810717419989,1,0.013927527411494047,13.692708792672784,186.03688407655815,444.1006561674505,0.0013706567756971127,0.001546823764603332
36,1,MS,6,2.06e-08,6.4e-07,1.0,0.00018729107031487065,0.0029752183330800587,0.01408462696270632,0.0016818824333055045,1,0.0029752183330800587,19.80650666630576,186.0381781807929,669.7998572787059,0.00042258980349624677,0.00035276280268559123
40,1,MS,4,4.64e-06,0.000144,0.0,0.048986382496472136,0.14122765852611802,1.6224418929374163,0.4700411706566277,1,0.14122765852611802,10.14026183085885,3.716521469165296e-09,233.443103804245,-0.3971571567293495,-1.9995948140215647
40,1,MS,5,1e-07,3.11e-06,0.5,0.0010527383125238188,0.016414687300869098,0.05285737256298097,0.010126162649630293,1,0.016414687300869098,15.29634575777584,212.96515002716316,473.67055668718143,0.0014554780276800066,0.0016658813792538578
40,1,MS,6,2.06e-08,6.4e-07,1.0,0.00021664625167623698,0.0034871244552216693,0.015806700341948855,0.0020838592557324946,1,0.0034871244552216693,22.228172355865574,212.96630807770265,714.396183114498,0.00044915325882362577,0.00038525831903753617
44,1,MS,4,4.64e-06,0.000144,0.0,0.05368184388820825,0.14327254223306168,1.7533018333691275,0.5194728053723898,1,0.14327254223306168,10.958136458557044,5.986735872050853e-09,242.42528735053097,-0.4207137521176486,-1.739835354025824
44,1,MS,5,1e-07,3.11e-06,0.5,0.00115384285725597,0.0191500201391249,0.05865863820279936,0.01119703175465982,1,0.0191500201391249,16.97516861174258,226.05862224180862,491.98390093217824,0.001505327953690854,0.0015680541664631917
44,1,MS,6,2.06e-08,6.4e-07,1.0,0.0002374524958233796,0.004050117605544168,0.017609400181487274,0.0023042289977151854,1,0.004050117605544168,24.763219005216474,226.05957333583035,742.0157198954729,0.00046481417748461357,0.00037241486535548535
48,1,MS,4,4.64e-06,0.000144,0.0,0.05225336770738389,0.27274736827082285,1.8856288595464235,0.5062862697125288,1,0.27274736827082285,11.785180372165145,222.94515758449765,239.79383984142135,-0.03030970493179226,0.08038685914818244
48,1,MS,5,1e-07,3.11e-06,0.5,0.0011279110547593905,0.02194895543738281,0.06453581602717479,0.010935182600114184,1,0.02194895543738281,18.675959622011995,222.95480054708787,487.4721133134437,0.0014508471940966477,0.0012675399558943314
48,1,MS,6,2.06e-08,6.4e-07,1.0,0.00023211549662086056,0.004626169516476906,0.019435650937758304,0.0022503389852284316,1,0.004626169516476906,27.331384131222613,222.95549970685408,735.2105420150128,0.00045157972630690575,0.0003162916013238005
